Movie Index,User Index,Rating
47,72,2.0
181,666,5.0
235,893,4.0
134,644,5.0
49,324,5.0
746,726,2.0
81,880,5.0
364,789,4.0
1216,681,3.0
191,640,4.0
158,302,3.0
379,377,3.0
7,678,2.0
199,880,2.0
268,789,3.0
20,306,4.0
549,561,4.0
1021,573,2.0
327,2,5.0
1196,410,4.0
945,339,5.0
590,732,3.0
504,715,4.0
215,503,4.0
32,804,5.0
221,500,4.0
478,325,5.0
503,30,5.0
200,267,3.0
99,791,4.0
501,405,1.0
85,564,5.0
927,233,2.0
76,663,3.0
134,386,5.0
97,227,3.0
72,540,4.0
21,109,4.0
1226,860,4.0
543,292,3.0
231,714,4.0
455,158,3.0
870,532,2.0
172,325,5.0
1138,416,3.0
134,0,4.0
661,870,3.0
229,765,3.0
861,652,2.0
280,547,4.0
461,337,4.0
27,388,4.0
31,566,5.0
3,465,3.0
250,285,5.0
320,487,3.0
828,118,5.0
232,505,4.0
526,642,3.0
240,353,3.0
91,449,4.0
694,220,4.0
317,467,5.0
183,215,4.0
286,302,4.0
545,93,3.0
236,916,5.0
209,599,4.0
622,233,2.0
158,371,5.0
929,545,5.0
493,869,3.0
287,462,1.0
1045,129,4.0
218,942,4.0
274,769,5.0
181,401,5.0
233,344,4.0
150,755,4.0
87,313,5.0
162,21,1.0
519,325,5.0
96,503,4.0
209,637,4.0
674,362,3.0
736,43,1.0
704,669,5.0
19,935,5.0
150,307,4.0
205,267,3.0
173,331,5.0
7,252,4.0
99,387,3.0
895,655,5.0
435,406,3.0
1314,598,4.0
256,222,4.0
510,9,4.0
221,737,4.0
431,405,5.0
89,658,2.0
738,345,3.0
379,806,4.0
99,890,5.0
309,118,5.0
513,487,2.0
457,547,3.0
878,89,3.0
472,362,4.0
520,928,5.0
927,649,2.0
427,659,4.0
72,58,4.0
215,314,4.0
472,347,3.0
281,909,3.0
812,191,4.0
1304,278,4.0
716,457,1.0
275,118,2.0
1519,313,3.0
213,221,4.0
194,659,4.0
703,523,4.0
1154,75,2.0
754,750,4.0
327,688,5.0
63,532,5.0
333,300,3.0
379,880,4.0
992,289,4.0
448,745,1.0
150,937,4.0
191,492,3.0
14,15,5.0
273,717,3.0
217,415,3.0
78,825,4.0
461,503,4.0
121,792,3.0
13,408,5.0
654,867,4.0
117,748,3.0
144,245,1.0
172,333,4.0
842,477,5.0
378,585,4.0
318,654,3.0
546,856,3.0
343,840,3.0
21,535,5.0
924,492,3.0
338,862,3.0
257,861,5.0
182,434,5.0
218,652,1.0
245,333,4.0
684,302,1.0
1047,795,2.0
1018,566,5.0
370,342,2.0
174,9,3.0
8,760,2.0
280,880,3.0
805,492,3.0
312,326,4.0
299,48,1.0
747,376,4.0
154,221,4.0
2,662,4.0
522,745,3.0
283,732,2.0
624,177,3.0
171,294,4.0
462,141,3.0
290,791,2.0
330,919,3.0
61,787,3.0
1046,67,1.0
21,285,4.0
1032,647,2.0
288,682,4.0
513,614,5.0
237,372,4.0
110,628,5.0
517,477,4.0
168,278,5.0
931,748,3.0
767,494,3.0
261,859,4.0
288,903,5.0
190,867,3.0
805,64,4.0
183,621,5.0
27,373,5.0
175,505,5.0
1276,327,3.0
431,436,3.0
983,180,1.0
257,447,4.0
113,710,5.0
134,9,5.0
306,508,2.0
1207,134,3.0
306,781,4.0
587,22,4.0
117,806,4.0
440,367,3.0
300,318,4.0
298,556,4.0
478,311,5.0
675,647,2.0
39,560,2.0
208,294,5.0
1073,789,3.0
192,777,4.0
1286,850,1.0
1006,674,4.0
214,294,5.0
1020,311,3.0
410,377,3.0
422,804,1.0
1195,654,3.0
698,327,4.0
299,38,3.0
500,711,3.0
287,12,1.0
380,4,1.0
80,72,5.0
662,270,4.0
417,91,3.0
1253,527,3.0
120,292,3.0
691,882,3.0
641,58,5.0
24,629,2.0
741,702,3.0
451,895,3.0
878,415,3.0
154,302,3.0
434,612,5.0
741,441,3.0
877,505,3.0
695,763,3.0
108,243,4.0
628,654,3.0
137,245,1.0
339,323,5.0
1400,434,4.0
50,789,3.0
111,253,2.0
140,641,4.0
474,67,5.0
236,200,4.0
61,921,3.0
285,499,1.0
514,200,5.0
738,523,2.0
431,794,3.0
1141,302,4.0
201,232,5.0
489,697,3.0
587,756,3.0
47,740,4.0
257,78,5.0
527,692,1.0
287,937,5.0
221,886,3.0
80,435,3.0
203,665,3.0
377,64,5.0
325,908,4.0
312,355,5.0
638,89,5.0
627,434,5.0
189,487,5.0
190,785,4.0
1409,681,3.0
91,628,4.0
320,671,4.0
407,291,4.0
99,40,4.0
1052,710,4.0
661,920,4.0
522,882,5.0
564,6,4.0
829,12,1.0
607,757,5.0
1125,405,3.0
774,654,2.0
949,462,3.0
440,4,1.0
490,229,3.0
520,532,3.0
392,317,5.0
656,803,4.0
125,593,3.0
1050,335,2.0
180,216,1.0
65,207,4.0
474,338,5.0
506,607,3.0
169,379,4.0
150,915,3.0
825,716,2.0
1310,449,4.0
404,88,3.0
0,116,4.0
746,353,2.0
285,59,5.0
448,621,2.0
7,6,5.0
475,532,2.0
781,591,2.0
226,704,4.0
558,726,2.0
228,737,3.0
190,400,4.0
386,88,5.0
796,216,4.0
505,617,4.0
217,362,2.0
1314,524,4.0
678,278,4.0
39,233,2.0
471,750,2.0
288,873,4.0
927,108,3.0
139,863,3.0
256,839,3.0
23,309,4.0
93,452,4.0
110,778,4.0
314,918,3.0
228,214,3.0
97,404,4.0
322,686,2.0
133,649,5.0
181,9,5.0
1032,641,3.0
268,318,3.0
653,874,4.0
1282,144,1.0
565,41,5.0
149,455,4.0
427,910,4.0
222,560,4.0
46,475,3.0
430,177,4.0
322,882,5.0
210,542,4.0
215,877,4.0
127,300,5.0
121,773,1.0
1046,144,3.0
160,917,1.0
662,536,3.0
126,421,4.0
244,593,3.0
495,262,5.0
173,649,4.0
894,506,5.0
292,594,4.0
583,150,3.0
194,660,5.0
82,451,3.0
142,392,5.0
202,566,4.0
643,268,5.0
180,724,4.0
660,895,4.0
874,30,4.0
433,861,5.0
9,295,2.0
659,471,5.0
312,257,5.0
127,290,4.0
99,767,5.0
968,17,3.0
454,293,3.0
872,586,3.0
1046,533,4.0
8,886,2.0
1066,662,3.0
299,389,5.0
15,767,3.0
163,888,4.0
424,268,5.0
23,471,5.0
1062,789,5.0
514,306,4.0
1414,404,1.0
450,710,5.0
667,616,4.0
484,503,4.0
553,61,1.0
65,398,3.0
14,164,5.0
306,576,3.0
135,822,5.0
122,429,2.0
569,641,1.0
545,512,4.0
187,585,2.0
203,177,4.0
392,108,4.0
134,404,5.0
181,209,5.0
529,746,5.0
149,536,3.0
1027,631,2.0
529,89,3.0
236,714,4.0
21,726,4.0
113,814,5.0
130,941,5.0
958,550,5.0
753,508,1.0
143,4,3.0
455,647,2.0
1209,531,4.0
196,480,3.0
61,499,3.0
19,472,3.0
161,408,4.0
1125,59,4.0
58,298,5.0
422,328,4.0
315,355,4.0
315,118,4.0
515,665,5.0
692,192,4.0
581,233,4.0
120,698,3.0
253,161,3.0
362,4,3.0
79,915,3.0
110,942,4.0
807,726,2.0
920,486,5.0
426,290,4.0
78,229,5.0
196,797,2.0
1006,497,3.0
429,845,3.0
495,576,5.0
567,599,4.0
303,862,3.0
1008,883,2.0
71,585,2.0
176,536,3.0
357,874,3.0
450,41,2.0
738,94,3.0
117,619,4.0
422,58,5.0
1015,893,3.0
897,506,5.0
190,9,5.0
731,453,4.0
651,772,3.0
274,908,5.0
521,804,5.0
622,777,1.0
673,915,3.0
1090,825,3.0
124,422,2.0
180,14,5.0
677,255,5.0
78,337,4.0
332,442,5.0
142,294,4.0
950,173,1.0
716,235,3.0
285,418,4.0
355,71,4.0
259,487,2.0
392,896,4.0
812,485,5.0
326,935,4.0
357,918,3.0
1058,805,3.0
790,415,2.0
738,455,3.0
288,522,4.0
193,425,4.0
304,170,2.0
356,15,5.0
312,453,5.0
529,773,5.0
945,886,4.0
661,765,3.0
152,804,4.0
116,255,5.0
189,252,5.0
707,329,3.0
749,608,4.0
863,206,3.0
271,72,4.0
1109,503,2.0
197,386,4.0
309,12,4.0
412,367,1.0
283,405,1.0
315,103,4.0
650,221,4.0
317,576,5.0
285,72,4.0
233,607,5.0
545,25,2.0
1282,664,3.0
567,52,4.0
564,845,2.0
178,366,5.0
63,52,5.0
236,42,4.0
13,122,5.0
346,939,3.0
421,527,2.0
1173,654,3.0
96,223,5.0
116,457,4.0
719,599,3.0
1141,613,3.0
181,71,5.0
809,542,3.0
867,616,4.0
301,604,4.0
14,623,4.0
526,850,5.0
476,926,3.0
1064,839,5.0
24,25,3.0
126,512,4.0
195,394,4.0
134,456,5.0
878,28,3.0
21,487,4.0
846,89,5.0
750,296,4.0
409,338,2.0
49,319,4.0
644,314,4.0
136,107,5.0
653,221,3.0
115,939,2.0
87,400,4.0
804,183,3.0
95,245,3.0
92,837,3.0
307,786,3.0
410,662,3.0
160,795,5.0
887,333,2.0
194,708,5.0
21,863,5.0
897,687,5.0
123,419,5.0
1530,576,4.0
123,68,4.0
809,647,4.0
290,665,3.0
581,270,3.0
317,17,5.0
324,450,3.0
299,715,5.0
495,604,5.0
257,583,4.0
256,803,5.0
319,895,3.0
81,17,3.0
429,9,3.0
277,707,4.0
136,710,5.0
310,297,3.0
228,43,3.0
369,26,4.0
11,404,5.0
317,51,5.0
90,471,5.0
368,902,4.0
609,847,5.0
70,379,4.0
331,322,3.0
345,132,3.0
184,698,4.0
624,942,3.0
433,59,5.0
21,274,3.0
500,69,4.0
614,24,5.0
27,804,3.0
167,197,4.0
656,536,3.0
7,576,4.0
125,329,5.0
416,505,4.0
610,30,4.0
300,784,4.0
714,918,5.0
55,523,4.0
419,939,4.0
110,654,2.0
596,100,3.0
268,817,3.0
182,637,4.0
343,110,2.0
224,188,4.0
234,398,4.0
283,534,4.0
293,109,3.0
1399,846,5.0
475,892,3.0
1100,804,5.0
182,424,3.0
248,642,3.0
213,4,3.0
284,448,5.0
30,386,3.0
339,869,3.0
31,428,4.0
677,625,1.0
267,864,4.0
550,842,3.0
521,113,5.0
258,801,2.0
229,274,3.0
925,797,4.0
552,310,3.0
30,82,5.0
70,183,4.0
41,302,5.0
336,607,4.0
203,297,4.0
306,643,4.0
167,428,5.0
388,649,3.0
814,598,3.0
357,510,1.0
1046,836,1.0
81,654,2.0
13,839,5.0
1543,797,3.0
340,404,1.0
1376,591,3.0
253,452,2.0
87,746,2.0
745,487,4.0
989,426,5.0
480,405,3.0
325,28,2.0
215,502,5.0
296,298,3.0
180,901,3.0
567,641,4.0
232,94,4.0
122,68,4.0
241,936,3.0
300,162,3.0
400,503,2.0
125,718,2.0
650,503,4.0
609,449,4.0
88,94,3.0
264,177,5.0
134,532,3.0
117,702,5.0
180,164,5.0
901,841,5.0
514,193,4.0
627,326,2.0
49,752,4.0
322,289,3.0
227,144,4.0
451,845,3.0
777,91,4.0
221,485,3.0
144,12,2.0
216,436,3.0
431,814,5.0
55,454,5.0
347,862,2.0
355,642,4.0
125,56,3.0
181,536,4.0
750,383,4.0
10,313,5.0
472,297,3.0
69,884,5.0
1410,306,4.0
287,920,3.0
580,626,3.0
196,765,3.0
37,880,3.0
237,773,5.0
1083,73,3.0
828,531,3.0
418,380,5.0
369,665,2.0
863,335,1.0
320,88,4.0
331,488,5.0
154,22,3.0
172,221,5.0
179,370,4.0
248,788,3.0
126,268,4.0
201,150,5.0
237,11,5.0
354,2,3.0
120,278,4.0
695,490,3.0
309,706,4.0
1069,238,5.0
65,689,3.0
4,20,2.0
478,15,5.0
184,773,2.0
433,814,3.0
973,58,3.0
209,915,4.0
52,532,1.0
392,863,3.0
179,398,3.0
310,78,4.0
947,662,4.0
560,12,1.0
143,456,5.0
644,654,3.0
459,226,2.0
167,410,5.0
513,404,1.0
154,921,2.0
165,428,5.0
41,248,5.0
429,839,5.0
221,669,4.0
384,428,3.0
207,765,5.0
1024,395,4.0
180,830,5.0
194,6,5.0
976,545,5.0
98,9,5.0
895,110,2.0
185,141,4.0
134,762,5.0
332,826,3.0
254,103,1.0
734,795,2.0
43,499,1.0
171,436,4.0
57,327,4.0
726,454,3.0
49,56,5.0
236,421,4.0
68,90,5.0
474,462,3.0
526,76,4.0
507,120,4.0
539,787,3.0
257,722,4.0
269,115,3.0
32,803,4.0
94,795,4.0
271,795,4.0
6,517,3.0
489,845,4.0
302,353,5.0
442,600,4.0
14,344,4.0
411,347,2.0
203,451,3.0
527,703,3.0
496,498,2.0
1013,296,3.0
767,711,5.0
472,696,5.0
275,485,4.0
1064,659,2.0
331,254,2.0
530,827,4.0
88,304,3.0
384,22,4.0
260,318,3.0
128,517,5.0
520,861,5.0
469,478,5.0
297,304,4.0
107,565,2.0
1029,879,2.0
769,185,2.0
90,507,4.0
68,268,1.0
981,254,2.0
185,127,5.0
1214,180,1.0
929,108,3.0
768,366,3.0
924,144,4.0
413,449,3.0
608,845,5.0
237,304,3.0
602,270,4.0
267,275,4.0
120,246,4.0
7,391,5.0
89,804,2.0
210,659,4.0
678,915,3.0
299,530,4.0
195,22,2.0
507,930,4.0
418,209,4.0
433,17,3.0
470,675,3.0
854,378,4.0
631,242,5.0
87,529,4.0
49,696,5.0
404,896,5.0
136,421,5.0
516,404,3.0
492,931,5.0
16,216,3.0
301,473,5.0
167,76,4.0
53,641,4.0
190,284,4.0
608,886,4.0
153,397,2.0
846,42,5.0
513,86,4.0
261,363,3.0
868,144,4.0
435,429,4.0
14,421,3.0
213,915,3.0
183,373,2.0
270,254,4.0
199,221,3.0
422,109,4.0
314,941,4.0
238,496,4.0
237,209,3.0
20,471,3.0
640,59,5.0
1117,494,5.0
337,639,5.0
985,255,5.0
208,605,4.0
662,96,5.0
724,392,2.0
404,81,3.0
105,143,3.0
417,762,4.0
545,100,4.0
526,188,5.0
474,424,5.0
483,896,3.0
976,795,2.0
122,275,4.0
1153,188,3.0
1010,341,3.0
283,140,5.0
306,2,3.0
172,456,5.0
140,302,3.0
233,889,5.0
565,129,4.0
789,617,3.0
723,292,3.0
7,534,4.0
677,781,3.0
688,7,4.0
590,364,4.0
182,535,3.0
325,739,3.0
409,455,4.0
814,920,5.0
186,567,3.0
603,715,3.0
377,617,4.0
43,261,2.0
1059,649,3.0
81,704,5.0
132,400,4.0
176,233,3.0
434,267,4.0
225,814,3.0
180,456,4.0
30,200,1.0
489,278,3.0
57,794,4.0
754,41,4.0
108,653,3.0
561,542,2.0
26,670,3.0
1163,880,1.0
150,906,4.0
1045,255,4.0
23,681,4.0
3,939,2.0
198,881,5.0
195,108,4.0
567,267,3.0
173,779,5.0
69,13,1.0
527,866,4.0
133,287,2.0
300,447,1.0
505,745,3.0
320,249,5.0
339,449,4.0
679,544,2.0
1399,404,1.0
654,578,3.0
236,477,5.0
747,275,3.0
275,873,4.0
124,282,5.0
1090,619,4.0
744,59,5.0
30,373,5.0
194,669,4.0
207,614,4.0
30,773,1.0
299,378,3.0
1019,89,5.0
156,600,3.0
237,910,2.0
314,757,5.0
526,678,4.0
345,213,3.0
454,266,3.0
186,187,3.0
325,723,4.0
312,165,5.0
287,545,4.0
20,641,5.0
331,628,4.0
251,713,3.0
28,449,3.0
116,333,3.0
707,344,3.0
526,91,3.0
392,310,4.0
134,449,3.0
568,61,1.0
419,886,5.0
330,293,4.0
193,649,4.0
327,549,5.0
674,805,3.0
513,624,3.0
780,654,1.0
92,746,4.0
481,81,4.0
1409,451,1.0
1066,62,3.0
743,305,4.0
4,647,4.0
656,72,5.0
734,658,3.0
257,581,4.0
190,91,4.0
565,325,4.0
240,157,4.0
494,523,4.0
932,249,3.0
131,194,5.0
174,921,3.0
523,544,4.0
273,188,4.0
505,127,4.0
76,544,3.0
233,454,4.0
819,331,4.0
1280,853,2.0
683,618,4.0
741,740,4.0
216,885,2.0
467,718,3.0
479,296,4.0
365,362,2.0
345,832,5.0
1046,82,2.0
65,41,4.0
29,278,2.0
173,647,5.0
927,864,1.0
264,456,5.0
285,383,4.0
29,0,3.0
85,553,4.0
173,784,5.0
257,148,3.0
448,789,2.0
57,845,4.0
92,910,4.0
1015,505,4.0
464,416,4.0
288,755,4.0
500,188,4.0
513,765,4.0
173,396,5.0
248,213,3.0
147,890,5.0
109,4,1.0
287,328,2.0
147,91,2.0
303,781,4.0
292,525,5.0
21,932,5.0
215,666,4.0
21,736,4.0
116,563,4.0
1285,304,5.0
442,424,2.0
184,147,1.0
13,89,5.0
245,777,2.0
284,382,5.0
257,563,4.0
639,324,3.0
534,478,3.0
687,426,5.0
183,302,5.0
1007,342,4.0
0,167,5.0
662,295,5.0
684,151,5.0
683,756,4.0
85,584,5.0
126,367,4.0
450,531,4.0
195,896,3.0
944,478,5.0
273,589,3.0
469,274,3.0
122,402,3.0
152,338,4.0
203,869,4.0
394,921,4.0
204,378,5.0
440,494,3.0
44,877,3.0
484,193,3.0
203,795,5.0
283,58,2.0
169,81,4.0
446,644,3.0
464,641,4.0
32,114,4.0
322,625,1.0
301,318,4.0
100,4,5.0
257,60,4.0
497,420,4.0
312,895,4.0
649,101,3.0
709,505,5.0
672,307,4.0
285,908,4.0
49,504,3.0
292,143,4.0
123,13,5.0
107,681,3.0
171,714,4.0
779,620,4.0
204,861,4.0
1044,660,3.0
182,59,5.0
366,750,4.0
91,261,3.0
716,43,3.0
1184,392,3.0
312,549,5.0
777,76,2.0
254,767,4.0
587,587,4.0
149,273,5.0
791,915,3.0
602,293,5.0
865,935,2.0
429,746,4.0
267,213,2.0
287,484,3.0
834,12,3.0
1062,57,1.0
1055,275,4.0
173,415,5.0
459,144,1.0
332,158,5.0
1394,654,3.0
878,618,4.0
663,304,2.0
110,587,1.0
68,777,2.0
484,405,3.0
309,99,3.0
1529,404,1.0
297,258,4.0
761,658,3.0
271,588,5.0
180,796,5.0
186,536,4.0
496,523,2.0
150,108,5.0
226,101,4.0
1049,765,3.0
247,373,1.0
178,298,4.0
267,10,5.0
233,494,5.0
738,531,5.0
274,733,4.0
41,473,4.0
1009,698,3.0
283,359,3.0
315,262,5.0
233,215,4.0
321,707,3.0
200,478,4.0
839,502,1.0
1039,41,3.0
192,428,4.0
258,203,2.0
503,382,4.0
327,91,3.0
384,891,3.0
1011,769,5.0
684,98,3.0
99,652,4.0
579,532,3.0
233,658,4.0
204,327,4.0
814,717,4.0
205,416,2.0
474,452,5.0
424,457,3.0
958,258,4.0
39,221,1.0
678,637,3.0
845,868,2.0
294,91,2.0
194,631,5.0
99,332,4.0
16,708,4.0
261,746,5.0
97,231,4.0
410,846,1.0
38,220,4.0
651,297,3.0
606,177,3.0
237,616,3.0
670,616,4.0
179,746,5.0
904,109,3.0
868,12,3.0
1578,404,1.0
49,95,5.0
885,882,3.0
22,666,3.0
113,496,4.0
843,536,4.0
95,505,4.0
287,149,4.0
1196,206,4.0
64,61,4.0
279,887,3.0
404,906,4.0
1219,405,3.0
287,347,5.0
317,199,5.0
7,850,4.0
274,483,3.0
1247,144,3.0
293,189,3.0
1238,886,3.0
681,811,4.0
66,891,4.0
1151,598,4.0
100,806,4.0
287,548,4.0
213,404,4.0
409,156,4.0
678,621,3.0
285,215,4.0
490,845,3.0
823,335,3.0
244,158,5.0
88,243,5.0
192,221,4.0
287,386,3.0
86,404,1.0
960,17,3.0
287,918,4.0
1567,404,1.0
207,882,4.0
178,91,5.0
55,737,4.0
122,48,1.0
209,660,5.0
194,187,3.0
507,212,4.0
88,505,5.0
7,755,4.0
755,343,2.0
190,726,4.0
508,628,5.0
295,654,4.0
685,388,3.0
655,832,4.0
481,292,4.0
146,579,3.0
152,192,4.0
93,245,2.0
617,388,4.0
161,223,4.0
586,550,4.0
639,828,3.0
121,331,5.0
65,453,4.0
180,880,4.0
217,503,4.0
475,879,3.0
236,681,3.0
221,622,4.0
491,388,5.0
199,846,3.0
215,718,4.0
155,15,4.0
830,623,3.0
630,449,4.0
221,799,4.0
1089,275,1.0
68,730,5.0
1024,591,1.0
124,935,4.0
1275,180,1.0
479,337,5.0
596,863,4.0
281,822,3.0
117,273,4.0
272,386,4.0
453,144,1.0
65,456,4.0
97,766,5.0
418,193,2.0
516,652,1.0
197,310,3.0
178,526,3.0
249,158,3.0
204,647,3.0
558,803,3.0
180,583,4.0
300,935,3.0
519,888,4.0
723,42,4.0
237,233,3.0
576,863,3.0
271,205,5.0
241,85,4.0
1154,654,3.0
693,343,5.0
749,586,3.0
984,415,3.0
823,266,4.0
47,576,5.0
210,425,4.0
812,150,4.0
681,56,3.0
654,845,3.0
67,822,3.0
195,494,3.0
674,845,2.0
185,458,4.0
366,794,3.0
1053,243,3.0
134,693,5.0
413,715,4.0
299,169,5.0
491,292,5.0
1051,42,1.0
735,896,3.0
50,136,1.0
257,426,4.0
364,550,5.0
968,40,4.0
580,585,2.0
210,17,5.0
148,533,2.0
537,298,3.0
454,76,3.0
683,745,4.0
486,310,4.0
1290,278,4.0
1060,44,2.0
198,320,4.0
413,330,4.0
914,12,5.0
63,312,4.0
100,449,5.0
6,416,3.0
454,61,3.0
1158,644,4.0
13,703,3.0
689,180,3.0
71,644,3.0
192,787,4.0
95,830,5.0
237,298,4.0
240,268,1.0
173,71,5.0
827,232,4.0
160,467,3.0
462,150,5.0
312,383,5.0
482,89,5.0
442,366,4.0
420,600,1.0
937,172,3.0
218,404,5.0
777,105,4.0
242,588,3.0
61,885,3.0
660,338,5.0
553,279,1.0
435,545,5.0
473,94,4.0
392,370,2.0
948,456,3.0
914,682,2.0
590,594,4.0
226,626,3.0
298,450,1.0
228,495,2.0
456,488,3.0
208,720,3.0
403,536,3.0
11,5,4.0
364,886,5.0
132,863,5.0
117,454,4.0
239,664,5.0
311,10,4.0
132,193,3.0
47,314,4.0
482,605,5.0
526,933,3.0
98,94,4.0
305,337,4.0
1243,647,3.0
107,803,3.0
788,534,2.0
128,71,4.0
447,61,2.0
327,275,4.0
209,931,4.0
922,57,5.0
830,922,4.0
464,697,3.0
1607,505,2.0
390,94,2.0
927,187,3.0
282,135,4.0
325,257,5.0
689,781,4.0
444,101,2.0
269,914,3.0
650,496,4.0
321,14,3.0
509,325,5.0
142,880,5.0
621,910,3.0
161,537,3.0
998,428,2.0
874,918,1.0
508,9,4.0
266,296,3.0
1557,468,5.0
327,112,5.0
418,880,5.0
96,188,4.0
510,669,4.0
85,560,4.0
237,837,4.0
444,801,3.0
801,670,3.0
403,896,4.0
789,642,4.0
38,129,4.0
130,307,4.0
746,231,3.0
641,183,4.0
14,51,5.0
1058,725,5.0
224,100,3.0
275,613,4.0
221,920,5.0
342,556,4.0
241,732,4.0
123,49,1.0
677,205,1.0
686,629,3.0
482,177,4.0
707,17,3.0
1196,433,5.0
131,473,4.0
826,319,4.0
264,653,5.0
174,48,5.0
642,913,4.0
154,285,4.0
306,786,4.0
18,584,3.0
190,912,5.0
731,785,4.0
553,797,2.0
684,930,4.0
507,642,4.0
843,662,2.0
229,6,3.0
1102,560,4.0
55,386,5.0
693,638,5.0
741,273,4.0
327,42,4.0
287,749,4.0
1088,679,2.0
31,6,4.0
96,373,5.0
283,255,4.0
381,379,3.0
257,200,2.0
677,548,3.0
0,96,4.0
581,79,3.0
326,34,3.0
201,393,5.0
603,390,4.0
88,494,3.0
288,322,2.0
88,248,5.0
346,668,3.0
754,505,4.0
0,150,5.0
8,310,4.0
272,692,3.0
326,189,2.0
854,621,3.0
868,278,1.0
448,157,2.0
191,404,5.0
300,415,5.0
93,17,3.0
275,893,5.0
381,434,3.0
339,528,1.0
63,704,5.0
618,757,4.0
